"Identification.id","Identification.Name","Identification.Year","Physical.Absolute Magnitude","Physical.Size.Minimum Estimated Diameter","Physical.Size.Maximum Estimated Diameter","Physical.Hazardous","Approach.Miss Distance","Approach.Relative Velocity","Orbital.Orbiting Body"
"3080638","(2001 QC34)","2001","20.2","0.2424124811","0.5420507863","True","28108174.75845149","37075.6309149652","Earth"
"3545711","(2010 RM42)","2010","18.62","0.5018281006","1.1221217459","True","63186737.54980877","88494.9370580603","Earth"
"2420210","420210 (2011 HF)","2011","20.44","0.2170475943","0.4853331752","True","48190307.553858","54073.8448961947","Earth"
"2138127","138127 (2000 EE14)","2000","17.11","1.0059003902","2.249261651","True","28047548.99493146","72888.3251502347","Earth"
"2367789","367789 (2011 AG5)","2011","21.77","0.1176399894","0.2630510131","True","19263368.229356103","27316.8161509172","Earth"
"54419613","(2024 AN2)","2024","21.69","0.1220548318","0.2729229009","True","63429619.68489148","70519.6882128283","Earth"
"2264993","264993 (2003 DX10)","2003","20.42","0.219055911","0.4898239078","True","30463828.015458457","36147.3417550206","Earth"
"3410533","(2008 JL24)","2008","29.6","0.0031956189","0.007145621","True","172264.026715393","12683.6874988245","Earth"
"2349068","349068 (2006 YT13)","2006","18.34","0.57089334","1.2765563162","True","68453766.6559096","68097.7886354089","Earth"
"2437905","437905 (2001 XU30)","2001","19.98","0.2682594171","0.5998462923","True","25275871.915342662","81812.4740471117","Earth"
"2297418","297418 (2000 SP43)","2000","18.52","0.5254785303","1.1750057146","True","16512680.314360008","60904.1184907824","Earth"
"3634388","(2013 GR38)","2013","21.8","0.1160259082","0.2594418179","True","30003216.921717808","41033.9958542683","Earth"
"3638287","(2013 JL14)","2013","24.5","0.0334622374","0.0748238376","True","47171610.82007592","71112.790386432","Earth"
"54218588","(2021 VZ8)","2021","28.16","0.0062023315","0.0138688349","True","26203707.390822846","34493.477387972","Earth"
"3879285","(2019 UG2)","2019","24.3","0.0366906138","0.0820427065","True","46456346.2584548","46701.3927136619","Earth"
"2523654","523654 (2011 SR5)","2011","20.95","0.1716148941","0.3837425691","True","8560031.889125304","89355.8416222372","Earth"
"2577723","577723 (2013 PF10)","2013","20.17","0.2457847746","0.5495914639","True","44771578.12823092","53361.2424372282","Earth"
"2235756","235756 (2004 VC)","2004","18.58","0.5111577815","1.1429835468","True","19731524.516067013","81512.0038873296","Earth"
"3620863","(2012 XA133)","2012","20.96","0.1708263953","0.3819794322","True","38100721.53294542","58750.1550922345","Earth"
"2162269","162269 (1999 VO6)","1999","16.97","1.0728894545","2.3990537526","True","37157975.607842766","89517.0600437177","Earth"
"3989397","(2020 CF)","2020","27.4","0.0088014652","0.0196806745","True","41670429.10827984","42826.7633276059","Earth"
"3311964","(2006 AM4)","2006","21.8","0.1160259082","0.2594418179","True","61007403.02018567","52203.9340808582","Earth"
"3776848","(2017 NN6)","2017","20.01","0.2645787599","0.5916160926","True","25714683.06891459","95211.5049967396","Earth"
"54349264","(2023 FL)","2023","25.16","0.0246919266","0.0552128263","True","32709788.020936657","42842.7268256837","Earth"
"2085585","85585 Mjolnir (1998 FG2)","1998","21.64","0.1248978541","0.2792800919","True","63798475.77777549","78369.3263057303","Earth"
"2458452","458452 (2011 BR15)","2011","19.77","0.2954982931","0.6607542706","True","58318888.51851391","46293.8703940897","Earth"
"3346460","(2006 SS134)","2006","21.48","0.1344481952","0.3006353038","True","50081694.29317086","49929.2280437803","Earth"
"3714452","(2015 FQ117)","2015","20.87","0.1780553292","0.3981438198","True","51694698.1859062","50253.3927977814","Earth"
"2004486","4486 Mithra (1987 SB)","1987","15.61","2.0070351411","4.4878670088","True","28267920.52516401","81489.4631036107","Earth"
"3263448","(2004 XK14)","2004","22.44","0.0864082036","0.1932146172","True","61768305.9724796","87536.1459269185","Earth"
"3125000","(2002 JC9)","2002","18.5","0.5303407233","1.1858779086","True","48784113.47018803","76201.3468820257","Earth"
"54166590","(2021 MU2)","2021","19.67","0.3094246986","0.69189466","True","39831278.384741664","75165.463323778","Earth"
"3373980","(2007 HA)","2007","20.38","0.2231284644","0.4989304142","True","52411864.10653545","59778.5451810883","Earth"
"3778076","(2017 OM1)","2017","23.4","0.0555334912","0.1241766613","True","72186580.5944278","69802.6536785567","Earth"
"54100193","(2020 XD5)","2020","19.81","0.2901048414","0.648694146","True","4515424.25981889","55417.6243995707","Earth"
"2679648","679648 (2019 XS)","2019","23.84","0.0453476699","0.1014004725","True","47484758.76054211","39370.632931004","Earth"
"2483989","483989 (2006 CY10)","2006","20.4","0.2210828104","0.4943561926","True","13468285.285535917","31278.5065147992","Earth"
"3653902","(2013 WR43)","2013","21.79","0.1165614595","0.2606393469","True","59707288.27856122","73829.0088952157","Earth"
"2368565","368565 (2004 FE5)","2004","20.09","0.2550086879","0.5702167609","True","33854944.591442","54251.6613890836","Earth"
"54139083","(2021 HS1)","2021","26.26","0.014878357","0.0332690178","True","67615493.73474249","55970.8200826794","Earth"
"54357397","(2023 JD)","2023","26.72","0.0120380177","0.0269178258","True","43723307.07737301","32236.0462362561","Earth"
"2613986","613986 (2008 JG)","2008","20.81","0.1830437804","0.4092983358","True","15257958.428424325","40289.376224309","Earth"
